"sold";"createdAt";"updatedAt";"UserId";"SystemId"
0;"2016-11-20 15:48:21";"2016-11-20 15:48:21";"00d817ee-2877-4150-b2c1-07e1f334641c";"59184695-1a28-4035-b8c6-7418f92aeee5"
0;"2018-07-19 01:37:07";"2018-07-19 01:37:07";"0317b2c9-da44-4ce7-b684-018f14b1ba7f";"28e34ca0-b69b-11e5-a3ef-ca8d614123eb"
0;"2017-03-08 01:10:39";"2017-03-08 01:10:39";"05aa8452-5d4a-4799-98ea-384f71aae0bf";"28df1dce-b69b-11e5-a3ef-ca8d614123eb"
0;"2017-03-30 03:18:06";"2017-03-30 03:18:06";"0d8a7b97-3616-40bd-ad04-a5c0f519e2e7";"28e07304-b69b-11e5-a3ef-ca8d614123eb"
0;"2018-01-09 01:32:42";"2018-01-09 01:32:42";"110cb959-5450-4d6a-bc21-4bef04b2aefd";"9b2d7f4c-bb38-4448-96fa-225ba4e0771b"
0;"2018-03-23 03:03:17";"2018-03-23 03:03:17";"11596156-9b15-45ed-b286-d096c9324747";"438d0875-f633-45b2-a1d5-ad7d5841b77e"
0;"2016-04-14 06:53:01";"2016-04-14 06:53:01";"13fa9e2a-d7ae-422d-becd-ec2d4909011b";"28e2cffa-b69b-11e5-a3ef-ca8d614123eb"
0;"2017-05-01 02:41:37";"2017-05-01 02:41:37";"1522b1b6-cb10-4297-8b27-7b99b8288ba3";"cc2b4474-1080-4a04-95a9-5f1d0bbe6efd"
0;"2017-01-23 01:10:02";"2017-01-23 01:10:02";"16dc5423-a19a-469c-a042-58fa0aa69319";"1904e8e3-72a2-4b2a-9023-9476b99a0b7d"
0;"2018-08-24 04:15:08";"2018-08-24 04:15:08";"18535c32-beba-485b-a22c-266a9b632ed2";"07040823-341d-4e1a-8e84-e4624aa0ffb2"
0;"2017-09-14 05:28:14";"2017-09-14 05:28:14";"1a70d2dd-988d-4949-a8ee-03b315584e7f";"28e1ad28-b69b-11e5-a3ef-ca8d614123eb"
0;"2017-09-15 02:18:20";"2017-09-15 02:18:20";"1cc46439-f803-4206-93bf-f3d5d3b0ac99";"ba6a19a1-a2f8-4d56-98ca-0a1e3b949bf1"
0;"2017-12-07 02:03:46";"2017-12-07 02:03:46";"1d502992-8462-4eb9-9dfe-34c9cad524a8";"28e05c52-b69b-11e5-a3ef-ca8d614123eb"
0;"2017-02-09 00:03:04";"2017-02-09 00:03:04";"1db78220-21d6-46e0-8580-cd73d0a795a5";"28e04190-b69b-11e5-a3ef-ca8d614123eb"
0;"2017-05-26 05:23:21";"2017-05-26 05:23:21";"1fe9e6e8-806f-45f2-94d9-5641b3f8f9bf";"0d62212d-a5db-47c7-9006-e8777fe9e8f6"
0;"2017-08-03 01:50:26";"2017-08-03 01:50:26";"1fe9e6e8-806f-45f2-94d9-5641b3f8f9bf";"100adc30-9ba2-4712-895b-3dfb99e626e2"
0;"2018-01-12 02:12:08";"2018-01-12 02:12:08";"21856bc6-19dc-440b-8dd3-0d3049f205e4";"fdb299d1-e79f-488c-b021-20b24d9cfd9c"
0;"2016-01-11 06:16:59";"2016-01-11 06:16:59";"28befa9e-b69b-11e5-a3ef-ca8d614123eb";"28e31c80-b69b-11e5-a3ef-ca8d614123eb"
0;"2016-01-11 06:16:59";"2016-01-11 06:16:59";"28befb5c-b69b-11e5-a3ef-ca8d614123eb";"28e064b8-b69b-11e5-a3ef-ca8d614123eb"
0;"2016-01-11 06:16:59";"2016-01-11 06:16:59";"28befc06-b69b-11e5-a3ef-ca8d614123eb";"28e358a8-b69b-11e5-a3ef-ca8d614123eb"
0;"2016-01-11 06:16:59";"2016-01-11 06:16:59";"28befcba-b69b-11e5-a3ef-ca8d614123eb";"28e34b1a-b69b-11e5-a3ef-ca8d614123eb"
